Freq, Harmonic, V1, VAngle1, V2, VAngle2, I1, IAngle1, I2, IAngle2
60, 1.00000, 230.94, 1.387E-007, 0, 0, 54126.6, -180, 54126.6, 1.58067E-007
180, 3.00000, 3.98265, 88.8257, 0, 0, 4979.65, -180, 4979.65, 4.74166E-007
300, 5.00000, 50.986, 89.2953, 0, 0, 33666.7, -180, 33666.7, 7.90277E-007
420, 7.00000, 48.4535, 89.4967, 0, 0, 22624.9, -180, 22624.9, 1.10639E-006
540, 9.00000, 2.76873, 89.6085, 0, 0, 801.074, -180, 801.074, 1.4225E-006
660, 11.00000, 21.9413, 89.6797, 0, 0, 3832.16, -180, 3832.16, 1.73861E-006
780, 13.00000, 16.3194, 89.729, 0, 0, 1688.75, -180, 1688.75, 2.05472E-006
900, 15.00000, 0.893125, 89.7651, 0, 0, 259.808, -180, 259.808, 2.37083E-006
